Objects in View; FPS
597;0.000000
599;0.000000
568;0.000000
564;0.000000
561;0.000000
560;0.000000
558;0.000000
556;0.000000
553;0.000000
550;0.000000
549;0.000000
547;0.000000
550;0.000000
545;0.000000
549;0.000000
554;0.000000
549;0.000000
559;0.000000
552;0.000000
552;0.000000
553;0.000000
553;0.000000
553;0.000000
558;0.000000
558;0.000000
562;0.000000
566;0.000000
570;0.000000
572;0.000000
572;0.000000
576;0.000000
579;0.000000
582;0.000000
585;0.000000
588;0.000000
590;0.000000
595;35.363144
563;35.363144
528;49.484718
528;51.107506
564;51.082996
592;49.869526
598;49.831158
561;49.776478
548;51.022392
553;50.493374
552;50.738319
546;48.172935
560;49.168385
598;50.471180
591;51.186363
562;49.376644
529;49.427261
529;49.105125
569;49.265518
602;48.766914
596;49.657623
556;49.562584
543;50.581455
